Name;Street;AdmArea;District;RouteNumbers;StationName;Direction;Pavilion;OperatingOrgName;geoData;global_id
?Бескудниково?, Дмитровское шоссе (от центра);Дмитровское шоссе;Северный административный округ;Бескудниковский район;"А179; А63; А685; А763; А763К; А799; Тб78";Бескудниково;от центра;да;ГУП ?Мосгортранс?;"Геоданные: ?
Тип: Point?
Координаты: [
  37.5481064459488,
  55.8743399430135
]";1 715 951
?Баскетбольная школа?, Дубнинская улица (от центра);Дубнинская улица;Северный административный округ;район Восточное Дегунино;"А167; А179; А677; А799";Баскетбольная школа;от центра;да;ГУП ?Мосгортранс?;"Геоданные: ?
Тип: Point?
Координаты: [
  37.5577474807871,
  55.8806120619554
]";1 715 952
?Д/к Юность?, Дубнинская улица (от центра);Дубнинская улица;Северный административный округ;район Восточное Дегунино;"А167; А179; А677; А799";Д/к Юность;от центра;да;ГУП ?Мосгортранс?;"Геоданные: ?
Тип: Point?
Координаты: [
  37.5577143374513,
  55.8840802374343
]";1 715 953
?Мкр. Дубки?, Дубнинская улица (от центра);Дубнинская улица;Северный административный округ;район Восточное Дегунино;"А167; А179; А677; А799";Мкр. Дубки;от центра;да;ГУП ?Мосгортранс?;"Геоданные: ?
Тип: Point?
Координаты: [
  37.5576797244719,
  55.8876175064199
]";1 715 954
?Ин-т Стали?, Дубнинская улица (от центра);Дубнинская улица;Северный административный округ;район Восточное Дегунино;"А167; А179; А677; А799";Ин-т Стали;от центра;да;ГУП ?Мосгортранс?;"Геоданные: ?
Тип: Point?
Координаты: [
  37.5576214148359,
  55.8922861368693
]";1 715 955
?Керамический пр.?, Дубнинская улица (от центра);Дубнинская улица;Северный административный округ;район Восточное Дегунино;"А167; А179; А677; А799";Керамический пр.;от центра;да;ГУП ?Мосгортранс?;"Геоданные: ?
Тип: Point?
Координаты: [
  37.5575632920449,
  55.8943694225398
]";1 715 956
?Платф. Лианозово (выс.)?, Керамический проезд (от центра);Керамический проезд;Северный административный округ;район Восточное Дегунино;"А167; А179; А677; А799";Платф. Лианозово (выс.);от центра;нет;;"Геоданные: ?
Тип: Point?
Координаты: [
  37.5549571923032,
  55.8963509029091
]";1 715 957
?Ст. Ховрино (пос.)?, Деповская улица (в центр);Деповская улица;Северный административный округ;район Западное Дегунино;"А270; А748; А154; А215; А191; А215к; А665";Ст. Ховрино (пос.);в центр;нет;;"Геоданные: ?
Тип: Point?
Координаты: [
  37.5115874603723,
  55.8696338840642
]";1 715 958
?Весенняя ул.?, Ангарская улица (от центра);Ангарская улица;Северный административный округ;район Западное Дегунино;А665;Весенняя ул.;от центра;да;ГУП ?Мосгортранс?;"Геоданные: ?
Тип: Point?
Координаты: [
  37.5146242169109,
  55.8738203293363
]";1 715 959
?Мкр. Западное Дегунино?, Ангарская улица (от центра);Ангарская улица;Северный административный округ;район Западное Дегунино;А665;Мкр. Западное Дегунино;от центра;да;ГУП ?Мосгортранс?;"Геоданные: ?
Тип: Point?
Координаты: [
  37.5174088289285,
  55.876133825272
]";1 715 960
?Ангарская ул.?, Коровинское шоссе (от центра);Коровинское шоссе;Северный административный округ;Дмитровский район;"А114; А656; А665; А799; Тб56";Ангарская ул.;от центра;да;ГУП Мосгортранс;"Геоданные: ?
Тип: Point?
Координаты: [
  37.5224621271503,
  55.8789527840719
]";1 715 961
?Колледж № 7?, Клязьминская улица (от центра);Клязьминская улица;Северный административный округ;Дмитровский район;"А194; А665; А200";Колледж № 7;от центра;да;ГУП ?Мосгортранс?;"Геоданные: ?
Тип: Point?
Координаты: [
  37.520510917248,
  55.8844527170027
]";1 715 962
?Ин-т Микрохирургии глаза?, Коровинское шоссе (в центр);Коровинское шоссе;Северный административный округ;район Западное Дегунино;"А194; А672; А215К; А656; Тб56";Ин-т Микрохирургии глаза;в центр;да;ГУП ?Мосгортранс?;"Геоданные: ?
Тип: Point?
Координаты: [
  37.5370259857508,
  55.8689605606284
]";1 715 963
?Наб. Тараса Шевченко?, набережная Тараса Шевченко (от центра);набережная Тараса Шевченко;Западный административный округ;район Дорогомилово;"А157; А840; А91";Наб. Тараса Шевченко;от центра;да;ЗАО ?Валль СНГ?;"Геоданные: ?
Тип: Point?
Координаты: [
  37.5728749907897,
  55.7494560751725
]";1 715 965
?ВКНЦ?, 3-я Черепковская улица (в центр);3-я Черепковская улица;Западный административный округ;район Кунцево;"А642; А660; А798; А816; А829";ВКНЦ;в центр;нет;;"Геоданные: ?
Тип: Point?
Координаты: [
  37.3754792673938,
  55.7573175430039
]";1 715 966
?Новосущевская ул.?, улица Сущёвский Вал (в центр);улица Сущёвский Вал;Северо-Восточный административный округ;район Марьина Роща;"А126; А84; А84А; А84К; Тб18; Тб42";Новосущевская ул.;в центр;да;ООО ?Праймсайт?;"Геоданные: ?
Тип: Point?
Координаты: [
  37.6030390040499,
  55.7927162800409
]";1 715 967
?Керамический пр.?, Дубнинская улица (в центр);Дубнинская улица;Северный административный округ;район Восточное Дегунино;"А167; А179; А677; А799";Керамический пр.;в центр;да;ГУП Мосгортранс;"Геоданные: ?
Тип: Point?
Координаты: [
  37.557288790254,
  55.8946790736417
]";1 715 968
?Ин-т Стали?, Дубнинская улица (в центр);Дубнинская улица;Северный административный округ;район Восточное Дегунино;"А179; А167; А799; А677";Ин-т Стали;в центр;да;ГУП ?Мосгортранс?;"Геоданные: ?
Тип: Point?
Координаты: [
  37.5572841055341,
  55.891499227963
]";1 715 969
?Мкр. Дубки?, Дубнинская улица (в центр);Дубнинская улица;Северный административный округ;район Восточное Дегунино;"А167; А179; А677; А799";Мкр. Дубки;в центр;да;ГУП ?Мосгортранс?;"Геоданные: ?
Тип: Point?
Координаты: [
  37.5573740771913,
  55.8874749689829
]";1 715 970
?Д/к Юность?, Дубнинская улица (в центр);Дубнинская улица;Северный административный округ;район Восточное Дегунино;"А167; А179; А677; А799";Д/к Юность;в центр;да;ГУП ?Мосгортранс?;"Геоданные: ?
Тип: Point?
Координаты: [
  37.557386852126,
  55.8836866639872
]";1 715 971
?Баскетбольная школа?, улица 800-летия Москвы (в центр);улица 800-летия Москвы;Северный административный округ;район Восточное Дегунино;"А149; А167; А179; А748; А799; А857";Баскетбольная школа;в центр;да;ГУП ?Мосгортранс?;"Геоданные: ?
Тип: Point?
Координаты: [
  37.5563322524459,
  55.8800924067225
]";1 715 972
?ВИСХОМ?, Дмитровское шоссе (в центр);Дмитровское шоссе;Северный административный округ;Бескудниковский район;"Тб78; А763К; А685; А763; А63; А179";ВИСХОМ;в центр;да;ГУП ?Мосгортранс?;"Геоданные: ?
Тип: Point?
Координаты: [
  37.5459877496192,
  55.877739956359
]";1 715 973
